tier,selector,transform,family,axis,window,weekday,station_set,days,score,hit_rate,hit_lift_pp,db_day_rate,db_day_lift_pp,stable_halves
WATCH,DB#1,P4P3,adjacent_pair,D-3,180,,Gia Lai|Ninh Thuận,25,38.361999999999995,0.48,17.519999999999996,0.12,10.08,2
WATCH,DB#1,P1P4,pos_pair,D-1,180,0,ALL,25,38.066,0.52,21.68,0.08,6.0,2
WATCH,G1#1,P2P5,pos_pair,D-2,180,0,ALL,25,38.066,0.52,21.68,0.08,6.0,2
WATCH,G2#1,LAST2,tail,D-2,180,5,ALL,25,36.864666666666665,0.64,22.04,0.08,5.0,2
WATCH,G2#1,P4P5,adjacent_pair,D-2,180,5,ALL,25,36.864666666666665,0.64,22.04,0.08,5.0,2
WATCH,G2#1,LAST2,tail,D-2,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,25,36.864666666666665,0.64,22.04,0.08,5.0,2
WATCH,G2#1,P4P5,adjacent_pair,D-2,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,25,36.864666666666665,0.64,22.04,0.08,5.0,2
WATCH,G2#2,LAST2,tail,D-3,180,6,ALL,24,36.57777777777778,0.625,21.500000000000004,0.08333333333333333,5.333333333333333,2
WATCH,G2#2,P4P5,adjacent_pair,D-3,180,6,ALL,24,36.57777777777778,0.625,21.500000000000004,0.08333333333333333,5.333333333333333,2
WATCH,G2#1,P4P3,adjacent_pair,D-2,180,0,ALL,25,36.066,0.52,21.68,0.08,6.0,1
WATCH,DB#1,SUM_UNIT_PAIR,sum,D-2,180,5,ALL,24,35.516666666666666,0.5833333333333334,16.33333333333334,0.125,9.5,2
WATCH,DB#1,SUM_UNIT_PAIR,sum,D-2,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,24,35.516666666666666,0.5833333333333334,16.33333333333334,0.125,9.5,2
WATCH,G2#2,P3P4,adjacent_pair,D-3,180,2,ALL,26,35.31538461538461,0.5384615384615384,23.846153846153843,0.038461538461538464,1.8461538461538463,2
