target_region,source_region,source_unit,source_prize,source_index,transform,axis,lag,window,days,h1_hits,h1_rate,h1_baseline,h1_lift_pp,h1_raw_p,h2_hits,h2_rate,h2_baseline,h2_lift_pp,h2_raw_p,score
MT,MT,Đà Nẵng,G8,1,LAST2_REV,W-4,28,180,52,26,0.5,0.36000000000000004,13.999999999999996,0.025068981512991292,4,0.07692307692307693,0.02500000000000002,5.192307692307691,0.02534418742536154,20.230769230769226
MT,MT,Đà Nẵng,G8,1,FIRST2_REV,W-4,28,180,52,26,0.5,0.36000000000000004,13.999999999999996,0.025068981512991292,4,0.07692307692307693,0.02500000000000002,5.192307692307691,0.02534418742536154,20.230769230769226
MT,MT,Đà Nẵng,G8,1,TAIL_HEAD,W-4,28,180,52,26,0.5,0.36000000000000004,13.999999999999996,0.025068981512991292,4,0.07692307692307693,0.02500000000000002,5.192307692307691,0.02534418742536154,20.230769230769226
MT,MT,Đà Nẵng,G8,1,P2P1,W-4,28,180,52,26,0.5,0.36000000000000004,13.999999999999996,0.025068981512991292,4,0.07692307692307693,0.02500000000000002,5.192307692307691,0.02534418742536154,20.230769230769226
MN,MB,MB_BOARD,DB,1,FIRST2_REV,W-1,7,60,60,35,0.5833333333333334,0.4333333333333334,14.999999999999996,0.01339847436385373,4,0.06666666666666667,0.03150000000000002,3.5166666666666644,0.11702416527648819,20.21999999999999
MN,MB,MB_BOARD,DB,1,P2P1,W-1,7,60,60,35,0.5833333333333334,0.4333333333333334,14.999999999999996,0.01339847436385373,4,0.06666666666666667,0.03150000000000002,3.5166666666666644,0.11702416527648819,20.21999999999999
MN,MB,MB_BOARD,G1,1,P4P2,D-4,4,60,60,35,0.5833333333333334,0.4333333333333334,14.999999999999996,0.01339847436385373,4,0.06666666666666667,0.03150000000000002,3.5166666666666644,0.11702416527648819,20.21999999999999
MT,MT,Huế,G7,1,LAST2_REV,D-3,3,180,31,18,0.5806451612903226,0.34967741935483865,23.0967741935484,0.0060641252328076925,0,0.0,0.02451612903225808,-2.451612903225808,1.0,20.154838709677428
MT,MT,Huế,G7,1,P3P2,D-3,3,180,31,18,0.5806451612903226,0.34967741935483865,23.0967741935484,0.0060641252328076925,0,0.0,0.02451612903225808,-2.451612903225808,1.0,20.154838709677428
MN,MN,TP. HCM,G7,1,FIRST2_REV,W-4,28,180,51,29,0.5686274509803921,0.4676470588235294,10.098039215686272,0.09594723190613821,6,0.11764705882352941,0.0347058823529412,8.29411764705882,0.0021613785604348975,20.05098039215686
MN,MN,TP. HCM,G7,1,P2P1,W-4,28,180,51,29,0.5686274509803921,0.4676470588235294,10.098039215686272,0.09594723190613821,6,0.11764705882352941,0.0347058823529412,8.29411764705882,0.0021613785604348975,20.05098039215686
MT,MT,Huế,G8,1,LAST2,W-4,28,180,36,20,0.5555555555555556,0.35861111111111105,19.694444444444454,0.011006670628066454,1,0.027777777777777776,0.02527777777777779,0.2499999999999985,0.6683400461553825,19.99444444444445
MT,MT,Huế,G8,1,FIRST2,W-4,28,180,36,20,0.5555555555555556,0.35861111111111105,19.694444444444454,0.011006670628066454,1,0.027777777777777776,0.02527777777777779,0.2499999999999985,0.6683400461553825,19.99444444444445
MT,MT,Huế,G8,1,HEAD_TAIL,W-4,28,180,36,20,0.5555555555555556,0.35861111111111105,19.694444444444454,0.011006670628066454,1,0.027777777777777776,0.02527777777777779,0.2499999999999985,0.6683400461553825,19.99444444444445
MT,MT,Huế,G8,1,P1P2,W-4,28,180,36,20,0.5555555555555556,0.35861111111111105,19.694444444444454,0.011006670628066454,1,0.027777777777777776,0.02527777777777779,0.2499999999999985,0.6683400461553825,19.99444444444445
MT,MT,Huế,DB,1,TAIL_HEAD,D-5,5,180,31,17,0.5483870967741935,0.35870967741935483,18.96774193548387,0.02196995453553825,1,0.03225806451612903,0.0238709677419355,0.8387096774193532,0.6111758779727317,19.974193548387092
MT,MT,Huế,DB,1,P6P1,D-5,5,180,31,17,0.5483870967741935,0.35870967741935483,18.96774193548387,0.02196995453553825,1,0.03225806451612903,0.0238709677419355,0.8387096774193532,0.6111758779727317,19.974193548387092
MN,MT,Khánh Hòa,DB,1,LAST2_REV,D-1,1,180,51,31,0.6078431372549019,0.41980392156862745,18.803921568627445,0.004952907562298267,2,0.0392156862745098,0.030000000000000023,0.921568627450978,0.5098232646600834,19.909803921568617
MT,MT,Huế,G2,1,P4P1,W-1,7,180,31,16,0.5161290322580645,0.36387096774193545,15.225806451612906,0.057584393618141404,2,0.06451612903225806,0.025483870967741948,3.9032258064516117,0.20920305076816031,19.90967741935484
MN,MB,MB_BOARD,DB,1,P2P4,W-1,7,60,60,36,0.6,0.4333333333333334,16.666666666666657,0.00666203259031103,3,0.05,0.03150000000000002,1.849999999999998,0.3260424533918774,19.886666666666656
MN,MB,MB_BOARD,G2,1,TAIL_HEAD,W-4,28,60,60,36,0.6,0.4333333333333334,16.666666666666657,0.00666203259031103,3,0.05,0.03150000000000002,1.849999999999998,0.3260424533918774,19.886666666666656
MN,MB,MB_BOARD,G2,1,P5P1,W-4,28,60,60,36,0.6,0.4333333333333334,16.666666666666657,0.00666203259031103,3,0.05,0.03150000000000002,1.849999999999998,0.3260424533918774,19.886666666666656
MN,MN,TP. HCM,G5,1,FIRST2_REV,D-2,2,180,51,31,0.6078431372549019,0.42058823529411754,18.725490196078436,0.005127783652553782,2,0.0392156862745098,0.029803921568627472,0.9411764705882332,0.5065700530650951,19.854901960784314
MN,MN,TP. HCM,G5,1,P2P1,D-2,2,180,51,31,0.6078431372549019,0.42058823529411754,18.725490196078436,0.005127783652553782,2,0.0392156862745098,0.029803921568627472,0.9411764705882332,0.5065700530650951,19.854901960784314
MN,MN,TP. HCM,DB,1,TAIL_HEAD,D-2,2,180,51,31,0.6078431372549019,0.42058823529411754,18.725490196078436,0.005127783652553782,2,0.0392156862745098,0.029803921568627472,0.9411764705882332,0.5065700530650951,19.854901960784314
MN,MN,TP. HCM,DB,1,P6P1,D-2,2,180,51,31,0.6078431372549019,0.42058823529411754,18.725490196078436,0.005127783652553782,2,0.0392156862745098,0.029803921568627472,0.9411764705882332,0.5065700530650951,19.854901960784314
MT,MT,Đà Nẵng,DB,1,P2P4,W-2,14,180,52,27,0.5192307692307693,0.36000000000000004,15.923076923076923,0.012297936743724435,3,0.057692307692307696,0.02500000000000002,3.2692307692307674,0.14323952870805642,19.846153846153843
MN,MN,TP. HCM,DB,1,P4P3,W-4,28,180,51,30,0.5882352941176471,0.4676470588235294,12.058823529411766,0.05641056717391175,5,0.09803921568627451,0.0347058823529412,6.333333333333331,0.0183738418096401,19.658823529411762
MN,MT,Đà Nẵng,G2,1,P3P4,D-6,6,180,51,32,0.6274509803921569,0.41882352941176476,20.86274509803921,0.0020013397332485387,1,0.0196078431372549,0.030000000000000023,-1.039215686274512,0.8010798040215048,19.615686274509795
MN,MT,Đà Nẵng,G1,1,FIRST2,W-4,28,180,52,33,0.6346153846153846,0.4665384615384616,16.807692307692296,0.010996180278745212,3,0.057692307692307696,0.034423076923076945,2.326923076923075,0.2945793786710798,19.599999999999987
MN,MT,Đà Nẵng,G1,1,P1P2,W-4,28,180,52,33,0.6346153846153846,0.4665384615384616,16.807692307692296,0.010996180278745212,3,0.057692307692307696,0.034423076923076945,2.326923076923075,0.2945793786710798,19.599999999999987
MN,MN,TP. HCM,DB,1,P4P2,D-4,4,180,52,28,0.5384615384615384,0.4225,11.596153846153845,0.060270248123913864,5,0.09615384615384616,0.02980769230769233,6.634615384615383,0.008072496437783752,19.557692307692307
MT,MB,MB_BOARD,G1,1,P5P2,D-1,1,60,60,27,0.45,0.35566666666666685,9.433333333333316,0.0820301413800874,6,0.1,0.024500000000000015,7.549999999999998,0.00038220622056895774,19.49333333333331
MT,MB,MB_BOARD,G2,2,P4P3,D-4,4,90,90,43,0.4777777777777778,0.35200000000000004,12.577777777777776,0.008468542702607091,5,0.05555555555555555,0.024333333333333342,3.122222222222221,0.057019236319475766,19.324444444444442
MN,MN,TP. HCM,G2,1,P4P3,W-4,28,180,51,31,0.6078431372549019,0.4676470588235294,14.01960784313725,0.031000853534052925,4,0.0784313725490196,0.0347058823529412,4.372549019607841,0.09283169454842809,19.26666666666666
MN,MT,Khánh Hòa,G7,1,LAST2,D-5,5,180,51,26,0.5098039215686274,0.42274509803921567,8.705882352941174,0.13203298307371902,6,0.11764705882352941,0.030000000000000023,8.764705882352938,0.0005594045639279989,19.2235294117647
MN,MT,Khánh Hòa,G7,1,SECOND_HEAD_TAIL,D-5,5,180,51,26,0.5098039215686274,0.42274509803921567,8.705882352941174,0.13203298307371902,6,0.11764705882352941,0.030000000000000023,8.764705882352938,0.0005594045639279989,19.2235294117647
MT,MT,Huế,DB,1,P5P3,W-2,14,180,33,17,0.5151515151515151,0.3651515151515151,15.000000000000002,0.05381813571673482,2,0.06060606060606061,0.025454545454545466,3.5151515151515142,0.2328592597301519,19.21818181818182
MN,MT,Khánh Hòa,G5,1,P1P2,D-4,4,180,52,30,0.5769230769230769,0.41884615384615387,15.8076923076923,0.01500662727970833,3,0.057692307692307696,0.029615384615384637,2.8076923076923057,0.216137086358329,19.176923076923067
