tier,target_region,rule_key,source_region,source_unit,source_prize,source_index,transform,family,axis,lag,window,weekday,station_set,days,hit_rate,hit_baseline,hit_lift_pp,db_day_rate,db_day_baseline,db_day_lift_pp,half_stable,score
C,MT,MN:Đồng Nai:G1#1:TAIL_HEAD,MN,Đồng Nai,G1,1,TAIL_HEAD,head_tail_cross,D-5,5,180,,Huế|Phú Yên,13,0.7692,0.3038,46.54,0.0769,0.02,5.69,2,66.78
C,MT,MN:TP. HCM:G2#2:LAST2_REV,MN,TP. HCM,G2,2,LAST2_REV,tail,D-1,1,180,1,ALL,12,0.6667,0.3058,36.08,0.1667,0.02,14.67,2,64.9
C,MT,MN:TP. HCM:G2#2:LAST2_REV,MN,TP. HCM,G2,2,LAST2_REV,tail,D-1,1,180,,Quảng Nam|Đắk Lắk,12,0.6667,0.3058,36.08,0.1667,0.02,14.67,2,64.9
C,MT,MN:TP. HCM:G2#2:P4P3,MN,TP. HCM,G2,2,P4P3,adjacent_pair,D-1,1,180,1,ALL,12,0.6667,0.3058,36.08,0.1667,0.02,14.67,2,64.9
C,MT,MN:TP. HCM:G2#2:P4P3,MN,TP. HCM,G2,2,P4P3,adjacent_pair,D-1,1,180,,Quảng Nam|Đắk Lắk,12,0.6667,0.3058,36.08,0.1667,0.02,14.67,2,64.9
C,MT,MB:MB_BOARD:DB#1:P2P4,MB,MB_BOARD,DB,1,P2P4,position_pair,D-1,1,180,,Huế|Khánh Hòa|Kon Tum,16,0.75,0.4081,34.19,0.1875,0.03,15.75,2,63.27
C,MT,MN:Đà Lạt:G2#2:P3P2,MN,Đà Lạt,G2,2,P3P2,adjacent_pair,W-2,14,180,6,ALL,14,0.7857,0.4086,37.71,0.1429,0.03,11.29,2,62.25
A,MT,MB:MB_BOARD:DB#1:P2P4,MB,MB_BOARD,DB,1,P2P4,position_pair,D-1,1,180,6,ALL,25,0.76,0.4084,35.16,0.16,0.03,13.0,2,62.23
B,MT,MB:MB_BOARD:DB#1:P2P3,MB,MB_BOARD,DB,1,P2P3,adjacent_pair,D-6,6,180,2,ALL,24,0.625,0.2992,32.58,0.1667,0.02,14.67,2,61.9
B,MT,MB:MB_BOARD:DB#1:P2P3,MB,MB_BOARD,DB,1,P2P3,adjacent_pair,D-6,6,180,,Khánh Hòa|Đà Nẵng,24,0.625,0.2992,32.58,0.1667,0.02,14.67,2,61.9
C,MB,MN:TP. HCM:G2#2:TAIL_HEAD,MN,TP. HCM,G2,2,TAIL_HEAD,head_tail_cross,W-4,28,180,5,ALL,17,0.5882,0.24,34.82,0.1176,0.01,10.76,2,61.36
C,MB,MN:TP. HCM:G2#2:TAIL_HEAD,MN,TP. HCM,G2,2,TAIL_HEAD,head_tail_cross,W-4,28,180,,Nam Định,17,0.5882,0.24,34.82,0.1176,0.01,10.76,2,61.36
C,MB,MN:TP. HCM:G2#2:P4P1,MN,TP. HCM,G2,2,P4P1,position_pair,W-4,28,180,5,ALL,17,0.5882,0.24,34.82,0.1176,0.01,10.76,2,61.36
C,MB,MN:TP. HCM:G2#2:P4P1,MN,TP. HCM,G2,2,P4P1,position_pair,W-4,28,180,,Nam Định,17,0.5882,0.24,34.82,0.1176,0.01,10.76,2,61.36
C,MT,MN:Đà Lạt:G2#2:P3P2,MN,Đà Lạt,G2,2,P3P2,adjacent_pair,W-2,14,180,,Huế|Khánh Hòa|Kon Tum,12,0.75,0.41,34.0,0.1667,0.03,13.67,2,60.29
C,MT,MN:Cà Mau:G2#2:FIRST2_REV,MN,Cà Mau,G2,2,FIRST2_REV,head,D-5,5,180,5,ALL,12,0.8333,0.4175,41.58,0.0833,0.03,5.33,2,59.94
C,MT,MN:Cà Mau:G2#2:FIRST2_REV,MN,Cà Mau,G2,2,FIRST2_REV,head,D-5,5,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,12,0.8333,0.4175,41.58,0.0833,0.03,5.33,2,59.94
C,MT,MN:TP. HCM:G2#2:TAIL_HEAD,MN,TP. HCM,G2,2,TAIL_HEAD,head_tail_cross,D-3,3,180,1,ALL,14,0.6429,0.3057,33.71,0.1429,0.02,12.29,2,59.4
C,MT,MN:TP. HCM:G2#2:TAIL_HEAD,MN,TP. HCM,G2,2,TAIL_HEAD,head_tail_cross,D-3,3,180,,Quảng Nam|Đắk Lắk,14,0.6429,0.3057,33.71,0.1429,0.02,12.29,2,59.4
C,MT,MN:TP. HCM:G2#2:P4P1,MN,TP. HCM,G2,2,P4P1,position_pair,D-3,3,180,1,ALL,14,0.6429,0.3057,33.71,0.1429,0.02,12.29,2,59.4
C,MT,MN:TP. HCM:G2#2:P4P1,MN,TP. HCM,G2,2,P4P1,position_pair,D-3,3,180,,Quảng Nam|Đắk Lắk,14,0.6429,0.3057,33.71,0.1429,0.02,12.29,2,59.4
A,MT,MN:Sóc Trăng:G2#1:FIRST2_REV,MN,Sóc Trăng,G2,1,FIRST2_REV,head,W-2,14,180,2,ALL,26,0.6538,0.3,35.38,0.1154,0.02,9.54,2,59.31
A,MT,MN:Sóc Trăng:G2#1:FIRST2_REV,MN,Sóc Trăng,G2,1,FIRST2_REV,head,W-2,14,180,,Khánh Hòa|Đà Nẵng,26,0.6538,0.3,35.38,0.1154,0.02,9.54,2,59.31
C,MB,MN:Bình Dương:G2#2:LAST2_REV,MN,Bình Dương,G2,2,LAST2_REV,tail,D-5,5,180,2,ALL,13,0.6154,0.2362,37.92,0.0769,0.01,6.69,2,58.98
C,MB,MN:Bình Dương:G2#2:LAST2_REV,MN,Bình Dương,G2,2,LAST2_REV,tail,D-5,5,180,,Bắc Ninh,13,0.6154,0.2362,37.92,0.0769,0.01,6.69,2,58.98
C,MB,MN:Bình Dương:G2#2:P4P3,MN,Bình Dương,G2,2,P4P3,adjacent_pair,D-5,5,180,2,ALL,13,0.6154,0.2362,37.92,0.0769,0.01,6.69,2,58.98
C,MB,MN:Bình Dương:G2#2:P4P3,MN,Bình Dương,G2,2,P4P3,adjacent_pair,D-5,5,180,,Bắc Ninh,13,0.6154,0.2362,37.92,0.0769,0.01,6.69,2,58.98
C,MB,MT:Khánh Hòa:G2#1:P5P4,MT,Khánh Hòa,G2,1,P5P4,adjacent_pair,D-3,3,180,5,ALL,13,0.6154,0.2454,37.0,0.0769,0.01,6.69,2,57.87
C,MB,MT:Khánh Hòa:G2#1:P5P4,MT,Khánh Hòa,G2,1,P5P4,adjacent_pair,D-3,3,180,,Nam Định,13,0.6154,0.2454,37.0,0.0769,0.01,6.69,2,57.87
C,MT,MB:MB_BOARD:G1#1:SUM_UNIT_HEAD,MB,MB_BOARD,G1,1,SUM_UNIT_HEAD,digit_sum,D-6,6,180,,Huế|Phú Yên,13,0.5385,0.3038,23.46,0.2308,0.02,21.08,2,57.55
C,MT,MB:MB_BOARD:G2#1:P3P4,MB,MB_BOARD,G2,1,P3P4,adjacent_pair,D-5,5,180,,Huế|Phú Yên,13,0.6923,0.3038,38.85,0.0769,0.02,5.69,2,57.55
C,MT,MN:Vũng Tàu:DB#1:FIRST2_REV,MN,Vũng Tàu,DB,1,FIRST2_REV,head,D-6,6,180,,Huế|Phú Yên,13,0.6923,0.3038,38.85,0.0769,0.02,5.69,2,57.55
C,MT,MN:Hậu Giang:G2#2:FIRST2_REV,MN,Hậu Giang,G2,2,FIRST2_REV,head,D-3,3,180,1,ALL,13,0.6923,0.3062,38.62,0.0769,0.02,5.69,2,57.27
C,MT,MN:Hậu Giang:G2#2:FIRST2_REV,MN,Hậu Giang,G2,2,FIRST2_REV,head,D-3,3,180,,Quảng Nam|Đắk Lắk,13,0.6923,0.3062,38.62,0.0769,0.02,5.69,2,57.27
C,MT,MN:Hậu Giang:G2#2:FIRST2,MN,Hậu Giang,G2,2,FIRST2,head,D-6,6,180,4,ALL,13,0.6923,0.3092,38.31,0.0769,0.0185,5.85,2,57.05
C,MT,MN:Hậu Giang:G2#2:FIRST2,MN,Hậu Giang,G2,2,FIRST2,head,D-6,6,180,,Gia Lai|Ninh Thuận,13,0.6923,0.3092,38.31,0.0769,0.0185,5.85,2,57.05
C,MB,MT:Khánh Hòa:G2#2:P3P2,MT,Khánh Hòa,G2,2,P3P2,adjacent_pair,W-3,21,180,2,ALL,15,0.5333,0.2393,29.4,0.1333,0.01,12.33,2,56.85
C,MB,MT:Khánh Hòa:G2#2:P3P2,MT,Khánh Hòa,G2,2,P3P2,adjacent_pair,W-3,21,180,,Bắc Ninh,15,0.5333,0.2393,29.4,0.1333,0.01,12.33,2,56.85
C,MB,MN:Đồng Tháp:G2#2:FIRST2,MN,Đồng Tháp,G2,2,FIRST2,head,D-3,3,180,3,ALL,12,0.5,0.2325,26.75,0.1667,0.0092,15.75,1,56.72
C,MB,MN:Đồng Tháp:G2#2:FIRST2,MN,Đồng Tháp,G2,2,FIRST2,head,D-3,3,180,,Hà Nội,12,0.5,0.2325,26.75,0.1667,0.0092,15.75,1,56.72
C,MN,MT:Ninh Thuận:G2#2:FIRST2,MT,Ninh Thuận,G2,2,FIRST2,head,W-4,28,180,4,ALL,19,0.7368,0.4242,31.26,0.1579,0.03,12.79,2,56.71
C,MN,MT:Ninh Thuận:G2#2:FIRST2,MT,Ninh Thuận,G2,2,FIRST2,head,W-4,28,180,,Bình Dương|Trà Vinh|Vĩnh Long,19,0.7368,0.4242,31.26,0.1579,0.03,12.79,2,56.71
C,MT,MN:Bến Tre:G2#1:FIRST2_REV,MN,Bến Tre,G2,1,FIRST2_REV,head,D-5,5,180,,Huế|Khánh Hòa|Kon Tum,16,0.8125,0.4081,40.44,0.0625,0.03,3.25,2,56.61
C,MT,MN:Đồng Nai:G2#1:LAST2,MN,Đồng Nai,G2,1,LAST2,tail,D-4,4,180,,Huế|Khánh Hòa|Kon Tum,16,0.6875,0.4081,27.94,0.1875,0.03,15.75,2,55.77
C,MT,MN:TP. HCM:G2#2:FIRST2,MN,TP. HCM,G2,2,FIRST2,head,D-2,2,180,2,ALL,12,0.6667,0.2992,36.75,0.0833,0.02,6.33,2,55.7
C,MT,MN:TP. HCM:G2#2:FIRST2,MN,TP. HCM,G2,2,FIRST2,head,D-2,2,180,,Khánh Hòa|Đà Nẵng,12,0.6667,0.2992,36.75,0.0833,0.02,6.33,2,55.7
C,MB,MT:Đà Nẵng:G2#2:P3P2,MT,Đà Nẵng,G2,2,P3P2,adjacent_pair,W-3,21,180,2,ALL,15,0.6,0.2393,36.07,0.0667,0.01,5.67,2,55.51
C,MB,MT:Đà Nẵng:G2#2:P3P2,MT,Đà Nẵng,G2,2,P3P2,adjacent_pair,W-3,21,180,,Bắc Ninh,15,0.6,0.2393,36.07,0.0667,0.01,5.67,2,55.51
C,MT,MN:Bình Phước:G2#2:FIRST2,MN,Bình Phước,G2,2,FIRST2,head,W-4,28,180,5,ALL,17,0.6471,0.4159,23.12,0.2353,0.03,20.53,2,55.51
C,MT,MN:Bình Phước:G2#2:FIRST2,MN,Bình Phước,G2,2,FIRST2,head,W-4,28,180,,Quảng Ngãi|Đà Nẵng|Đắk Nông,17,0.6471,0.4159,23.12,0.2353,0.03,20.53,2,55.51
C,MT,MB:MB_BOARD:G1#1:P4P3,MB,MB_BOARD,G1,1,P4P3,adjacent_pair,D-3,3,180,,Phú Yên|Thừa Thiên Huế,12,0.6667,0.3025,36.42,0.0833,0.02,6.33,2,55.3
C,MT,MB:MB_BOARD:G2#1:P4P3,MB,MB_BOARD,G2,1,P4P3,adjacent_pair,D-2,2,180,,Phú Yên|Thừa Thiên Huế,12,0.6667,0.3025,36.42,0.0833,0.02,6.33,2,55.3
C,MT,MB:MB_BOARD:G2#2:TAIL_SUM_UNIT,MB,MB_BOARD,G2,2,TAIL_SUM_UNIT,digit_sum,D-1,1,180,,Phú Yên|Thừa Thiên Huế,12,0.6667,0.3025,36.42,0.0833,0.02,6.33,2,55.3
C,MT,MN:Bình Phước:G1#1:LAST2_REV,MN,Bình Phước,G1,1,LAST2_REV,tail,D-2,2,180,,Phú Yên|Thừa Thiên Huế,12,0.75,0.3025,44.75,0.0,0.02,-2.0,2,55.3
C,MT,MN:Bình Phước:DB#1:FIRST2,MN,Bình Phước,DB,1,FIRST2,head,D-2,2,180,,Phú Yên|Thừa Thiên Huế,12,0.6667,0.3025,36.42,0.0833,0.02,6.33,2,55.3
C,MT,MN:Long An:G2#1:FIRST2,MN,Long An,G2,1,FIRST2,head,D-2,2,180,,Phú Yên|Thừa Thiên Huế,12,0.6667,0.3025,36.42,0.0833,0.02,6.33,2,55.3
C,MT,MN:TP. HCM:DB#1:TAIL_HEAD,MN,TP. HCM,DB,1,TAIL_HEAD,head_tail_cross,W-2,14,180,,Phú Yên|Thừa Thiên Huế,12,0.5833,0.3025,28.08,0.1667,0.02,14.67,2,55.3
C,MT,MN:Cà Mau:G1#1:LAST2,MN,Cà Mau,G1,1,LAST2,tail,D-7,7,180,,Phú Yên|Thừa Thiên Huế,12,0.5833,0.3025,28.08,0.1667,0.02,14.67,2,55.3
C,MT,MN:Cà Mau:G1#1:LAST2,MN,Cà Mau,G1,1,LAST2,tail,D-7,7,180,,Phú Yên|Thừa Thiên Huế,12,0.5833,0.3025,28.08,0.1667,0.02,14.67,2,55.3
C,MT,MN:Đồng Tháp:DB#1:HEAD_TAIL,MN,Đồng Tháp,DB,1,HEAD_TAIL,head_tail_cross,W-2,14,180,,Phú Yên|Thừa Thiên Huế,12,0.5833,0.3025,28.08,0.1667,0.02,14.67,2,55.3
A,MB,MT:Bình Định:G1#1:HEAD_TAIL,MT,Bình Định,G1,1,HEAD_TAIL,head_tail_cross,W-3,21,180,3,ALL,25,0.52,0.234,28.6,0.12,0.0096,11.04,2,55.26
A,MB,MT:Bình Định:G1#1:HEAD_TAIL,MT,Bình Định,G1,1,HEAD_TAIL,head_tail_cross,W-3,21,180,,Hà Nội,25,0.52,0.234,28.6,0.12,0.0096,11.04,2,55.26
C,MB,MN:An Giang:G2#2:P3P2,MN,An Giang,G2,2,P3P2,adjacent_pair,W-4,28,180,3,ALL,15,0.6667,0.2327,43.4,0.0,0.0093,-0.93,2,55.05
C,MB,MN:An Giang:G2#2:P3P2,MN,An Giang,G2,2,P3P2,adjacent_pair,W-4,28,180,,Hà Nội,15,0.6667,0.2327,43.4,0.0,0.0093,-0.93,2,55.05
C,MN,MT:Bình Định:G2#2:LAST2,MT,Bình Định,G2,2,LAST2,tail,W-2,14,180,3,ALL,16,0.75,0.4206,32.94,0.125,0.03,9.5,2,54.69
C,MN,MT:Bình Định:G2#2:LAST2,MT,Bình Định,G2,2,LAST2,tail,W-2,14,180,,An Giang|Bình Thuận|Tây Ninh,16,0.75,0.4206,32.94,0.125,0.03,9.5,2,54.69
C,MB,MN:TP. HCM:DB#1:P6P5,MN,TP. HCM,DB,1,P6P5,adjacent_pair,D-5,5,180,3,ALL,12,0.6667,0.2342,43.25,0.0,0.01,-1.0,2,54.5
C,MB,MN:TP. HCM:DB#1:P6P5,MN,TP. HCM,DB,1,P6P5,adjacent_pair,D-5,5,180,,Hà Nội,12,0.6667,0.2342,43.25,0.0,0.01,-1.0,2,54.5
C,MB,MT:Đắk Lắk:G2#2:LAST2_REV,MT,Đắk Lắk,G2,2,LAST2_REV,tail,D-7,7,180,1,ALL,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:LAST2_REV,MT,Đắk Lắk,G2,2,LAST2_REV,tail,D-7,7,180,,Quảng Ninh,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:LAST2_REV,MT,Đắk Lắk,G2,2,LAST2_REV,tail,D-7,7,180,1,ALL,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:LAST2_REV,MT,Đắk Lắk,G2,2,LAST2_REV,tail,D-7,7,180,,Quảng Ninh,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:P4P3,MT,Đắk Lắk,G2,2,P4P3,adjacent_pair,D-7,7,180,1,ALL,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:P4P3,MT,Đắk Lắk,G2,2,P4P3,adjacent_pair,D-7,7,180,,Quảng Ninh,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:P4P3,MT,Đắk Lắk,G2,2,P4P3,adjacent_pair,D-7,7,180,1,ALL,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MB,MT:Đắk Lắk:G2#2:P4P3,MT,Đắk Lắk,G2,2,P4P3,adjacent_pair,D-7,7,180,,Quảng Ninh,14,0.5,0.2371,26.29,0.1429,0.01,13.29,2,54.34
C,MT,MN:Tiền Giang:G2#2:P3P2,MN,Tiền Giang,G2,2,P3P2,adjacent_pair,W-2,14,180,6,ALL,14,0.7857,0.4086,37.71,0.0714,0.03,4.14,2,54.15
C,MB,MT:Khánh Hòa:G1#1:P5P2,MT,Khánh Hòa,G1,1,P5P2,position_pair,D-4,4,180,6,ALL,12,0.6667,0.2408,42.58,0.0,0.01,-1.0,2,53.7
C,MB,MT:Khánh Hòa:G1#1:P5P2,MT,Khánh Hòa,G1,1,P5P2,position_pair,D-4,4,180,,Thái Bình,12,0.6667,0.2408,42.58,0.0,0.01,-1.0,2,53.7
A,MN,MT:Đắk Nông:DB#1:FIRST2_REV,MT,Đắk Nông,DB,1,FIRST2_REV,head,D-3,3,180,1,ALL,26,0.7308,0.4115,31.92,0.1154,0.03,8.54,2,53.38
A,MN,MT:Đắk Nông:DB#1:FIRST2_REV,MT,Đắk Nông,DB,1,FIRST2_REV,head,D-3,3,180,,Bạc Liêu|Bến Tre|Vũng Tàu,26,0.7308,0.4115,31.92,0.1154,0.03,8.54,2,53.38
C,MN,MT:Kon Tum:G2#2:FIRST2,MT,Kon Tum,G2,2,FIRST2,head,D-1,1,180,0,ALL,15,0.7333,0.424,30.93,0.1333,0.03,10.33,2,53.13
C,MN,MT:Kon Tum:G2#2:FIRST2,MT,Kon Tum,G2,2,FIRST2,head,D-1,1,180,,Cà Mau|TP. HCM|Đồng Tháp,15,0.7333,0.424,30.93,0.1333,0.03,10.33,2,53.13
B,MB,MT:Đắk Nông:G2#1:TAIL_HEAD,MT,Đắk Nông,G2,1,TAIL_HEAD,head_tail_cross,D-4,4,180,2,ALL,25,0.6,0.2388,36.12,0.04,0.01,3.0,2,52.84
B,MB,MT:Đắk Nông:G2#1:TAIL_HEAD,MT,Đắk Nông,G2,1,TAIL_HEAD,head_tail_cross,D-4,4,180,,Bắc Ninh,25,0.6,0.2388,36.12,0.04,0.01,3.0,2,52.84
A,MT,MB:MB_BOARD:G1#1:P4P1,MB,MB_BOARD,G1,1,P4P1,position_pair,D-3,3,180,4,ALL,25,0.6,0.3048,29.52,0.12,0.0192,10.08,2,52.8
A,MT,MB:MB_BOARD:G1#1:P4P1,MB,MB_BOARD,G1,1,P4P1,position_pair,D-3,3,180,,Gia Lai|Ninh Thuận,25,0.6,0.3048,29.52,0.12,0.0192,10.08,2,52.8
A,MT,MB:MB_BOARD:DB#1:P5P3,MB,MB_BOARD,DB,1,P5P3,position_pair,D-6,6,180,1,ALL,25,0.52,0.3044,21.56,0.2,0.02,18.0,2,52.77
A,MT,MB:MB_BOARD:DB#1:P5P3,MB,MB_BOARD,DB,1,P5P3,position_pair,D-6,6,180,,Quảng Nam|Đắk Lắk,25,0.52,0.3044,21.56,0.2,0.02,18.0,2,52.77
C,MN,MT:Khánh Hòa:G2#2:FIRST2,MT,Khánh Hòa,G2,2,FIRST2,head,D-1,1,180,0,ALL,15,0.6667,0.424,24.27,0.2,0.03,17.0,2,52.69
C,MN,MT:Khánh Hòa:G2#2:FIRST2,MT,Khánh Hòa,G2,2,FIRST2,head,D-1,1,180,,Cà Mau|TP. HCM|Đồng Tháp,15,0.6667,0.424,24.27,0.2,0.03,17.0,2,52.69
C,MB,MT:Huế:G2#1:LAST2_REV,MT,Huế,G2,1,LAST2_REV,tail,D-1,1,180,1,ALL,14,0.5714,0.2407,33.07,0.0714,0.01,6.14,2,52.49
C,MB,MT:Huế:G2#1:LAST2_REV,MT,Huế,G2,1,LAST2_REV,tail,D-1,1,180,,Quảng Ninh,14,0.5714,0.2407,33.07,0.0714,0.01,6.14,2,52.49
C,MB,MT:Huế:G2#1:P4P3,MT,Huế,G2,1,P4P3,adjacent_pair,D-1,1,180,1,ALL,14,0.5714,0.2407,33.07,0.0714,0.01,6.14,2,52.49
C,MB,MT:Huế:G2#1:P4P3,MT,Huế,G2,1,P4P3,adjacent_pair,D-1,1,180,,Quảng Ninh,14,0.5714,0.2407,33.07,0.0714,0.01,6.14,2,52.49
A,MN,MT:Bình Định:DB#1:TAIL_HEAD,MT,Bình Định,DB,1,TAIL_HEAD,head_tail_cross,D-6,6,180,2,ALL,26,0.7308,0.4204,31.04,0.1154,0.0296,8.58,2,52.36
A,MN,MT:Bình Định:DB#1:TAIL_HEAD,MT,Bình Định,DB,1,TAIL_HEAD,head_tail_cross,D-6,6,180,,Cần Thơ|Sóc Trăng|Đồng Nai,26,0.7308,0.4204,31.04,0.1154,0.0296,8.58,2,52.36
A,MT,MB:MB_BOARD:G2#1:P1P3,MB,MB_BOARD,G2,1,P1P3,position_pair,D-1,1,180,6,ALL,25,0.64,0.4084,23.16,0.2,0.03,17.0,2,52.36
C,MT,MN:Long An:G2#2:TAIL_HEAD,MN,Long An,G2,2,TAIL_HEAD,head_tail_cross,D-1,1,180,6,ALL,13,0.7692,0.4131,35.62,0.0769,0.03,4.69,2,52.16
C,MT,MN:Long An:G2#2:P4P1,MN,Long An,G2,2,P4P1,position_pair,D-1,1,180,6,ALL,13,0.7692,0.4131,35.62,0.0769,0.03,4.69,2,52.16
C,MB,MT:Gia Lai:G2#2:FIRST2_REV,MT,Gia Lai,G2,2,FIRST2_REV,head,D-3,3,180,0,ALL,14,0.5714,0.2436,32.79,0.0714,0.01,6.14,2,52.14
C,MB,MT:Gia Lai:G2#2:FIRST2_REV,MT,Gia Lai,G2,2,FIRST2_REV,head,D-3,3,180,,Hà Nội,14,0.5714,0.2436,32.79,0.0714,0.01,6.14,2,52.14
C,MN,MT:Đà Nẵng:DB#1:P6P3,MT,Đà Nẵng,DB,1,P6P3,position_pair,D-1,1,180,3,ALL,13,0.7692,0.4138,35.54,0.0769,0.03,4.69,2,52.06
C,MN,MT:Đà Nẵng:DB#1:P6P3,MT,Đà Nẵng,DB,1,P6P3,position_pair,D-1,1,180,,An Giang|Bình Thuận|Tây Ninh,13,0.7692,0.4138,35.54,0.0769,0.03,4.69,2,52.06
A,MN,MB:MB_BOARD:G2#2:P5P3,MB,MB_BOARD,G2,2,P5P3,position_pair,D-7,7,180,3,ALL,25,0.76,0.4176,34.24,0.08,0.03,5.0,2,52.05
A,MN,MB:MB_BOARD:G2#2:P5P3,MB,MB_BOARD,G2,2,P5P3,position_pair,D-7,7,180,,An Giang|Bình Thuận|Tây Ninh,25,0.76,0.4176,34.24,0.08,0.03,5.0,2,52.05
A,MN,MB:MB_BOARD:G2#2:P5P3,MB,MB_BOARD,G2,2,P5P3,position_pair,D-7,7,180,3,ALL,25,0.76,0.4176,34.24,0.08,0.03,5.0,2,52.05
A,MN,MB:MB_BOARD:G2#2:P5P3,MB,MB_BOARD,G2,2,P5P3,position_pair,D-7,7,180,,An Giang|Bình Thuận|Tây Ninh,25,0.76,0.4176,34.24,0.08,0.03,5.0,2,52.05
A,MN,MB:MB_BOARD:DB#1:P4P1,MB,MB_BOARD,DB,1,P4P1,position_pair,D-7,7,180,4,ALL,26,0.7308,0.4246,30.62,0.1154,0.03,8.54,2,51.82
A,MN,MB:MB_BOARD:DB#1:P4P1,MB,MB_BOARD,DB,1,P4P1,position_pair,D-7,7,180,,Bình Dương|Trà Vinh|Vĩnh Long,26,0.7308,0.4246,30.62,0.1154,0.03,8.54,2,51.82
A,MN,MB:MB_BOARD:DB#1:P4P1,MB,MB_BOARD,DB,1,P4P1,position_pair,D-7,7,180,4,ALL,26,0.7308,0.4246,30.62,0.1154,0.03,8.54,2,51.82
A,MN,MB:MB_BOARD:DB#1:P4P1,MB,MB_BOARD,DB,1,P4P1,position_pair,D-7,7,180,,Bình Dương|Trà Vinh|Vĩnh Long,26,0.7308,0.4246,30.62,0.1154,0.03,8.54,2,51.82
C,MT,MN:Bình Dương:G2#2:TAIL_HEAD,MN,Bình Dương,G2,2,TAIL_HEAD,head_tail_cross,D-5,5,180,2,ALL,14,0.5714,0.2979,27.36,0.1429,0.02,12.29,2,51.77
C,MT,MN:Bình Dương:G2#2:TAIL_HEAD,MN,Bình Dương,G2,2,TAIL_HEAD,head_tail_cross,D-5,5,180,,Khánh Hòa|Đà Nẵng,14,0.5714,0.2979,27.36,0.1429,0.02,12.29,2,51.77
C,MT,MN:Bình Dương:G2#2:P4P1,MN,Bình Dương,G2,2,P4P1,position_pair,D-5,5,180,2,ALL,14,0.5714,0.2979,27.36,0.1429,0.02,12.29,2,51.77
C,MT,MN:Bình Dương:G2#2:P4P1,MN,Bình Dương,G2,2,P4P1,position_pair,D-5,5,180,,Khánh Hòa|Đà Nẵng,14,0.5714,0.2979,27.36,0.1429,0.02,12.29,2,51.77
